City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
244,Beira,MZ,80.69,light rain,-19.8436,34.8389,Hotel Savoy
249,Karratha,AU,84.56,overcast clouds,-20.7377,116.8463,Karratha International Hotel
256,Paka,MY,76.98,light rain,4.6374,103.4368,Paka Inn
257,Phangnga,TH,78.84,overcast clouds,8.4509,98.5298,Hotel
266,Mecca,SA,83.14,overcast clouds,21.4267,39.8261,Rehab Al Marwa Hotel 1
274,Copiapo,CL,71.29,clear sky,-27.3667,-70.3333,Hotel Il Riposo
278,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
282,Acucena,BR,86.52,broken clouds,-19.0731,-42.5464,Hotel e Restaurante Açucena
288,Meulaboh,ID,75.61,overcast clouds,4.1363,96.1285,Hotel Meuligou
300,Isangel,VU,78.33,broken clouds,-19.55,169.2667,Tanna Lodge
304,Nouakchott,MR,80.53,overcast clouds,18.0858,-15.9785,فندق أدرار
308,Kilindoni,TZ,81.95,overcast clouds,-7.9139,39.6668,Ibizza Inn
309,Vao,NC,76.77,broken clouds,-22.6667,167.4833,Nataiwatch
310,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Central Hôtel
312,Sur,OM,75.97,clear sky,22.5667,59.5289,Sur Hotel
313,Kavieng,PG,78.04,moderate rain,-2.5744,150.7967,Kavieng Hotel
324,Gold Coast,AU,71.01,scattered clouds,-28.0,153.4333,The Sands Apartments
329,Maceio,BR,87.24,scattered clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
333,Takoradi,GH,81.66,overcast clouds,4.8845,-1.7554,Hillcrest
335,Axim,GH,81.59,overcast clouds,4.8699,-2.2405,Axim Beach Hotel
339,Dwarka,IN,77.38,clear sky,22.2394,68.9678,The Dwarika Hotel
345,Kikwit,CD,74.79,moderate rain,-5.041,18.8162,Grand Hôtel de Kikwit
346,Soyaniquilpan,MX,78.93,few clouds,19.9833,-99.5,Xilonen Palace
347,Ouesso,CG,82.65,overcast clouds,1.6136,16.0517,Auberge Nianina
349,Tibati,CM,82.89,broken clouds,6.4667,12.6333,Hôtel Calypso Annexe
353,Mindelo,CV,72.95,few clouds,16.8901,-24.9804,Solar Windelo
356,Kalmunai,LK,76.57,overcast clouds,7.4167,81.8167,Saji new food
367,Port Elizabeth,ZA,73.09,clear sky,-33.918,25.5701,Waterford Hotel
369,Mae Sot,TH,71.42,clear sky,16.7167,98.5667,First Hotel
372,Boueni,YT,84.18,overcast clouds,-12.9025,45.0761,La Case Robinson
375,Tomatlan,MX,85.91,broken clouds,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
383,Cavalcante,BR,84.85,clear sky,-13.7975,-47.4583,Pousada Chalés do Lago
385,Lima,PE,77.25,scattered clouds,-12.0432,-77.0282,Hotel Peach Garden
390,Pemba,MZ,77.7,broken clouds,-12.974,40.5178,Hotel Rafael
393,Bac Lieu,VN,75.6,overcast clouds,9.285,105.7244,Khách sạn Bạc Liêu
394,Caravelas,BR,82.09,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
402,Pontianak,ID,76.98,overcast clouds,-0.0333,109.3333,Golden Tulip Hotel
408,Moroto,UG,76.95,overcast clouds,2.5345,34.6666,Shalosa Hotel
411,Noumea,NC,80.01,scattered clouds,-22.2763,166.4572,Hotel Gondwana
414,Mount Pleasant,US,81.09,clear sky,32.7941,-79.8626,Old Village Post House
415,Morgan City,US,75.99,few clouds,29.6994,-91.2068,Holiday Inn Express & Suites Morgan City - Tiger Island
419,Namibe,AO,70.18,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
420,Marsabit,KE,75.97,few clouds,2.3284,37.9899,Chicho Hotel
423,Carupano,VE,82.85,scattered clouds,10.6678,-63.2585,Hotel El Yunque
431,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,Hotel valencia
433,Oranjestad,AW,82.35,scattered clouds,12.524,-70.027,Hotel California
437,Maragogi,BR,83.66,few clouds,-9.0122,-35.2225,Pousada Mariluz
445,Biltine,TD,85.35,broken clouds,14.5333,20.9167,فندق ثلاث نجوم بلتن
449,Dillon,US,76.95,clear sky,34.4166,-79.3712,Quality Inn
453,Mogadishu,SO,79.65,few clouds,2.0371,45.3438,Villa Rays Restaurant & Hotel
454,Riyadh,SA,75.34,clear sky,24.6877,46.7219,White Palace Hotel
459,Itarema,BR,82.42,light rain,-2.9248,-39.9167,Pousada Oásis
466,Beeville,US,82.29,clear sky,28.4008,-97.7483,La Quinta by Wyndham
472,Puerto El Triunfo,SV,86.32,clear sky,13.2833,-88.55,Motel Jardín
473,Abancay,PE,73.92,overcast clouds,-13.6339,-72.8814,Hotel Turistas
476,Muqui,BR,84.58,clear sky,-20.956,-41.3531,Pousada Esperança
477,Mabaruma,GY,86.0,scattered clouds,8.2,-59.7833,Monty Brooms Hotel
481,Sorong,ID,80.01,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
487,Ouro Preto Do Oeste,BR,82.76,overcast clouds,-10.7481,-62.2158,Graúna Resort Hotel
488,Kang,BW,79.93,scattered clouds,-23.6752,22.7876,Nkisi Guest House
491,Tamandare,BR,83.66,clear sky,-8.7597,-35.1047,Pousada Baia dos Corais
507,Huarmey,PE,78.3,broken clouds,-10.0681,-78.1522,Hostal Santa Rosa
508,Kimbe,PG,74.73,light rain,-5.5502,150.1429,Kimbe Bay Hotel
516,Chapada Dos Guimaraes,BR,82.06,scattered clouds,-15.4606,-55.7497,Pousada Rios
517,Buriti,BR,79.88,overcast clouds,-22.9302,-45.3881,Hotel Avenida
518,Quatre Cocos,MU,81.09,moderate rain,-20.2078,57.7625,Horisun
521,Abu Road,IN,72.81,clear sky,24.4833,72.7833,Ambaji
526,Nagaur,IN,73.8,overcast clouds,27.2,73.7333,Ranvas Nagaur
527,Fare,PF,80.82,moderate rain,-16.7,-151.0167,hôtel Maitai Lapita Village
528,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
529,Tema,GH,84.07,overcast clouds,5.667,-0.0166,Macbaron
531,Upala,CR,85.84,broken clouds,10.8979,-85.0145,Hotel Rosita
532,Dakar,SN,81.48,clear sky,14.6937,-17.4441,翁记小吃
533,Porto Novo,BJ,81.46,broken clouds,6.4965,2.6036,Hôtel 6500 CFA
535,Waingapu,ID,75.96,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
540,Buraydah,SA,78.04,broken clouds,26.326,43.975,دنا للوحدات السكنية
541,Bahia Blanca,AR,82.29,broken clouds,-38.7196,-62.2724,Hotel Austral Bahía
549,Tabou,CI,80.92,clear sky,4.423,-7.3528,hôtel le rochet
552,Makakilo City,US,74.44,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
556,Kantang,TH,73.72,overcast clouds,7.4054,99.5156,ธนะอินน์ โฮเต็ล
562,Maine-Soroa,NE,86.38,broken clouds,13.2114,12.0241,Maïné-Soroa
568,Puerto Baquerizo Moreno,EC,81.59,few clouds,-0.9,-89.6,Dory's House
573,Vangaindrano,MG,72.9,moderate rain,-23.35,47.6,Fanilo
579,Rawson,AR,77.29,clear sky,-43.3002,-65.1023,Hotel Deportivo
589,Ambon,ID,78.24,heavy intensity rain,-3.6954,128.1814,Hotel Hero
590,Ojinaga,MX,76.57,clear sky,29.5667,-104.4167,Hotel
591,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Kununurra Country Club Resort
593,Pangai,TO,82.83,overcast clouds,-19.8,-174.35,Billy's Place
597,Grand Gaube,MU,82.38,moderate rain,-20.0064,57.6608,Coco Villa
601,Port Blair,IN,80.64,mist,11.6667,92.75,Andaman Ocean Breeze
602,Salalah,OM,77.09,clear sky,17.0151,54.0924,Muscat International Hotel
615,Santa Maria,BR,75.52,overcast clouds,-29.6842,-53.8069,Hotel Morotin
619,Namatanai,PG,75.36,light rain,-3.6667,152.4333,Namatanai Hotel
625,Cam Ranh,VN,73.36,few clouds,11.9214,109.1591,Khách sạn Thái Bình
635,Bowen,AU,76.12,overcast clouds,-20.0167,148.2333,Whitsunday Sands Resort
640,Odweyne,SO,73.13,clear sky,9.4092,45.064,فندق المدينه
