City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Margate,GB,51.3813,1.3862,43.9,83,100,5.01,overcast clouds
80,Souillac,MU,-20.5167,57.5167,80.98,83,75,3.44,moderate rain
81,Kirkwall,GB,58.9848,-2.9587,39.96,75,20,0.0,few clouds
82,Camana,PE,-16.6228,-72.7111,77.47,70,55,7.52,broken clouds
83,Mandalgarh,IN,25.2,75.1,72.55,35,41,3.58,scattered clouds
84,Yar-Sale,RU,66.8333,70.8333,-20.7,99,87,3.78,overcast clouds
85,Vila Velha,BR,-20.3297,-40.2925,87.75,69,0,14.97,clear sky
86,Faya,SA,18.3851,42.4509,62.71,56,44,2.73,scattered clouds
87,Sao Domingos,BR,-13.3983,-46.3183,91.63,31,19,3.62,few clouds
88,Mar Del Plata,AR,-38.0023,-57.5575,72.82,73,40,13.8,scattered clouds
89,Chkalovsk,RU,56.7647,43.2433,25.29,97,100,6.62,overcast clouds
90,Banepa,NP,27.6298,85.5214,57.52,82,20,4.61,mist
91,Upernavik,GL,72.7868,-56.1549,9.93,81,98,8.32,overcast clouds
92,Omboue,GA,-1.5746,9.2618,79.41,86,97,7.7,overcast clouds
93,Faanui,PF,-16.4833,-151.75,81.43,75,100,8.72,light rain
94,Yellowknife,CA,62.456,-114.3525,-14.28,64,75,8.05,broken clouds
95,Anaconda,US,46.1285,-112.9423,24.04,71,100,4.72,overcast clouds
96,Kouango,CF,4.9934,19.9619,88.09,31,100,1.99,overcast clouds
97,Thompson,CA,55.7435,-97.8558,17.76,73,75,6.91,light snow
98,Ponta Do Sol,PT,32.6667,-17.1,69.01,89,37,5.97,scattered clouds
99,Bathsheba,BB,13.2167,-59.5167,84.81,61,20,21.85,few clouds
100,Balkanabat,TM,39.5108,54.3671,57.2,57,98,11.7,overcast clouds
101,Tromso,NO,69.6496,18.957,28.42,86,100,24.16,light snow
102,Iki-Burul,RU,45.8208,44.6472,38.21,79,42,10.29,scattered clouds
103,Poso,ID,-1.3959,120.7524,75.67,89,100,4.92,light rain
104,Kenitra,MA,34.261,-6.5802,57.96,67,100,5.39,overcast clouds
105,Hilo,US,19.7297,-155.09,73.11,91,100,3.44,light rain
106,Honningsvag,NO,70.9821,25.9704,28.15,86,100,33.38,light snow
107,Soyo,AO,-6.1349,12.3689,79.81,77,98,9.93,overcast clouds
108,Pangnirtung,CA,66.1451,-65.7125,17.6,79,40,0.0,light snow
109,Sokolo,ML,14.7328,-6.1219,92.71,10,16,8.37,few clouds
110,Kapaa,US,22.0752,-159.319,73.72,86,20,12.66,light rain
111,Sargatskoye,RU,55.6101,73.4972,13.73,96,90,8.59,overcast clouds
112,Ahipara,NZ,-35.1667,173.1667,64.58,78,80,11.9,broken clouds
113,Rio Pomba,BR,-21.2747,-43.1792,83.64,66,51,5.61,broken clouds
114,Yerbogachen,RU,61.2767,108.0108,12.33,93,100,6.42,overcast clouds
115,Butaritari,KI,3.0707,172.7902,80.74,79,100,6.96,light rain
116,Constitucion,CL,-35.3333,-72.4167,72.99,48,11,16.87,few clouds
117,Avarua,CK,-21.2078,-159.775,82.45,78,75,10.36,broken clouds
118,Varnamo,SE,57.186,14.04,31.05,46,2,5.01,clear sky
119,Nishihara,JP,26.1842,127.7558,60.08,67,0,9.22,clear sky
120,Caledonia,US,42.8078,-87.9242,48.58,55,75,10.36,broken clouds
121,Cabo San Lucas,MX,22.8909,-109.9124,75.61,49,0,6.15,clear sky
122,Tarakan,ID,3.3,117.6333,77.79,83,100,11.61,moderate rain
123,Geraldton,AU,-28.7667,114.6,66.61,77,0,13.8,clear sky
124,Sola,VU,-13.8833,167.55,82.04,77,19,21.5,few clouds
125,Juquitiba,BR,-23.9317,-47.0683,84.36,79,99,4.74,overcast clouds
126,Yebaishou,CN,41.3975,119.6408,34.29,60,0,4.25,clear sky
127,Nanakuli,US,21.3906,-158.1547,75.87,73,0,4.61,clear sky
128,Bethel,US,41.3712,-73.414,43.16,78,100,6.91,overcast clouds
129,Aktau,KZ,43.65,51.2,41.58,78,7,13.96,clear sky
130,Cape Town,ZA,-33.9258,18.4232,69.12,85,40,5.75,thunderstorm with rain
131,Trelew,AR,-43.249,-65.3051,77.27,14,0,21.85,clear sky
132,Broken Hill,AU,-31.95,141.4333,69.33,33,0,2.75,clear sky
133,Visby,SE,57.6409,18.296,34.05,55,100,18.41,overcast clouds
134,Tiznit,MA,29.5833,-9.5,58.62,82,100,4.65,overcast clouds
135,Edmundston,CA,47.3737,-68.3251,31.12,51,0,4.61,clear sky
136,Barrow,US,71.2906,-156.7887,-34.58,98,100,11.5,overcast clouds
137,Hamilton,US,39.1834,-84.5333,55.62,48,0,3.44,clear sky
138,Lavrentiya,RU,65.5833,-171.0,5.47,96,100,12.55,light snow
139,Kamenica,DE,50.8333,12.9167,38.7,84,100,1.99,overcast clouds
140,Bengkulu,ID,-3.8004,102.2655,73.78,90,100,3.38,light rain
141,Anchorage,US,61.2181,-149.9003,5.76,74,0,15.01,clear sky
142,Zheleznodorozhnyy,RU,55.7503,38.0042,31.55,92,100,12.66,light snow
143,Port Alfred,ZA,-33.5906,26.891,71.19,93,29,7.85,scattered clouds
144,Brownsville,US,25.9018,-97.4975,81.09,49,0,12.66,clear sky
145,Shu,KZ,43.5983,73.7614,44.28,75,22,4.88,few clouds
146,Suntar,RU,62.1444,117.6319,13.48,89,100,9.53,overcast clouds
147,Touros,BR,-5.1989,-35.4608,83.53,68,85,15.84,overcast clouds
148,Karasburg,NA,-28.0167,18.75,65.55,62,0,20.04,clear sky
149,Khrystynivka,UA,48.8249,29.9681,38.14,63,40,15.84,scattered clouds
150,Coquimbo,CL,-29.9533,-71.3436,69.53,73,0,13.8,clear sky
151,Yagodnoye,RU,62.55,149.6667,-35.28,91,32,3.18,scattered clouds
152,Naron,ES,43.5167,-8.1528,54.45,81,0,8.9,clear sky
153,Lasa,IT,46.6166,10.7002,45.48,86,26,5.97,scattered clouds
154,Mahebourg,MU,-20.4081,57.7,81.25,83,75,3.44,moderate rain
155,Maputo,MZ,-25.9653,32.5892,80.28,85,40,11.99,scattered clouds
156,Pisz,PL,53.6274,21.8125,28.96,62,16,14.63,few clouds
157,Fortuna,US,40.5982,-124.1573,42.66,96,20,11.5,few clouds
